9780783883038	Seifert, Elizabeth	Thus Doctor Mallory (G K Hall Large Print Book Series)	1.40	pounds
9780783883007	Paine, Lauran	Murder Now, Pay Later (G K Hall Nightingale Series Edition)	0.75	pounds
9780880642378	Russ, Martin	The Last Parallel: A Marine's War Journal	0.80	pounds
9780863695056	\N	The Films of Burt Reynolds	1.94	pounds
9780631201823	Worsam, Mike	Marketing: An Active Learning Approach (BA in Business Studies)	2.43	pounds
9782260001218	Clerc, Michel	Tapis rouge	0.84	pounds
9782909998602	\N	Hugo et la Mer	0.88	pounds
9780783882932	Newton, D.B.	Crooked River Canyon (Thorndike British Favorites)	0.85	pounds
9780815303893	Michael, Erika	Hans Holbein the Younger: A Guide to Research (Artist Resource Manuals)	2.25	pounds
9781593093648	Newell, L. E.	Grind Don't Stop, The (Strebor on the Streetz)	0.70	pounds
9781416927044	Cabot, Meg	Code Name Cassandra (1-800-Where-R-You)	0.30	pounds
9780631202011	Johnson, Mark H.	Developmental Cognitive Neuroscience: An Introduction (Fundamentals of Cognitive Neuroscience)	0.82	pounds
9781851703166	\N	Journeys to the Promised Land: Ancient Maps, Prints and Travelogues Through the Centuries	1.74	pounds
9781851745371	Anne Harrison	Sing It Again: the Place of Short Songs in Worship (Worship Series)	0.13	pounds
9781841466781	CGP Books	GCSE Chemistry Edexcel Practice Papers - Higher	0.50	pounds
9780824789411	\N	Lipid Chromatographic Analysis (Chromatographic Science Series)	1.56	pounds
9781405715843	\N	Butterworths Insolvency Law Handbook	3.17	pounds
9780891417101	Kilzer, Louis	Hitler's Traitor: Martin Bormann and the Defeat of the Reich	1.15	pounds
9783473355037	Jens, Walter	Ilias und Odyssee	1.19	pounds
9781852231019	Wilson, Les	American Football (Crowood Sports Books)	0.94	pounds
9781416926993	Maynard, Joyce	The Cloud Chamber (Anne Schwartz Books)	0.50	pounds
9781416926887	Catalanotto, Peter	Emily's Art	0.20	pounds
9781416926825	Evans, Richard Paul	The Christmas Candle	0.25	pounds
9780722184431	Craig Thomas	The Bear's Tears	0.53	pounds
9780783882918	Foster, Bennett	Bullets for a Badman (G K Hall Nightingale Series Edition)	0.75	pounds
9780060837556	McCullough, Colleen	The Thorn Birds	1.10	pounds
9780304358496	Warner, Philip	World War Two: The Untold Story (Cassell Military Paperbacks)	0.62	pounds
9780956702913	McGonigal, Steven	The Season's End: Lurchers, Terriers, Teckles, Hounds and Hog Dogs	0.62	pounds
9780631202189	Guttenplan, Samuel	Mind's Landscape: An Introduction to the Philosophy of Mind	1.19	pounds
9781851745401	Gibbs, Jane	Faith in Suburbia (Pastoral)	0.09	pounds
9780393334852	Saltonstall, Ellen	Yoga for Osteoporosis: The Complete Guide	1.35	pounds
9780140445695	Marx, Karl	Capital: Critique of Political Economy v. 2 (Penguin Classics)	0.93	pounds
9780783882901	Long, Freda M.	The Heir of Frinton Park (Thorndike British Favorites)	0.85	pounds
9780631202530	Scott Dixon, C.	Reformation in Germany (Historical Association Studies)	0.75	pounds
9780062020079	Hadden, Gerry	Never the Hope Itself: Love and Ghosts in Latin America and Haiti	0.62	pounds
9780863695001	Griggs, John	The Films of Gregory Peck	1.72	pounds
9781416954606	Garfield, Henry	The Lost Voyage of John Cabot	1.05	pounds
9781863714136	Wilber, Ken	Grace and Grit	1.11	pounds
9780631202912	\N	Blackwell Guide Epistemology (Blackwell Philosophy Guides)	2.07	pounds
9783423136037	Lagerlof, Selma	Weihnachtsgeschichten	0.31	pounds
9780631203179	Sutherland, John	Life Walter Scott: A Critical Biography (Blackwell Critical Biographies)	1.52	pounds
9780563519423	Stephen Briers	Happy Families: How to Make One, How to Keep One	0.93	pounds
9780951927991	Brian Butler	Kinesiology for Balanced Health Vol I Part II	\N	\N
9781551929422	Fleming, Anne	Anomaly	1.05	pounds
9781564403025	Spencer, Brian	Austria off the Beaten Track	1.32	pounds
9780062020376	Alexander, Chris	The Long Way Back: Afghanistan's Quest for Peace	1.10	pounds
9781852231026	Elsey, Neil	Golf: How to Improve Your Game	1.00	pounds
9780631203254	David, Jean-Michael	The Roman Conquest of Italy (The ancient world)	0.80	pounds
9781879087958	\N	Global Bond Management II: The Search for Alpha	0.65	pounds
9781621480822	Selg, Peter	Rudolf Steiner, Life and Work: (1861 - 1890): Childhood, Youth, and Study Years Volume 1	0.95	pounds
9781133611646	Pritchard, Gabrielle	National Geographic Primary 2 Student Book (Our World)	1.15	pounds
9781416954590	Gutman, Dan	Return of the Homework Machine	0.30	pounds
9781405715645	Keramidas, Giannis	International and European Financial Criminal Law	1.85	pounds
9781851745357	Lamb, Sarah L.	Adoption: A Challenge to the Church	0.22	pounds
9780393950632	Stoessinger, Jg	Crusaders and Pragmatists: Movers of Modern American Foreign Policy	0.90	pounds
9780307263971	Scott, Paul	Raj Quartet; the Towers of Silence, A Division of the Spoils: 2	1.95	pounds
9780783882895	Scott, Valerie	Mysterious Nurse (Thorndike British Favorites)	0.45	pounds
9781879087965	Jon R. Bailie	Managing Currency Risk: Proceedings of the Aimr Seminar Managing Currency Risks for Investment Portfolios and European Monetary Union: Changes	1.11	pounds
9780863694950	Pfeiffer, Lee	The John Wayne Scrapbook	1.83	pounds
9781590845363	Sloan, Karyn	Techniques of Color Guard (Let's Go Team--Cheer, Dance, March)	0.78	pounds
9780824789589	Modarres, Mohammad	What Every Engineer Should Know about Reliability and Risk Analysis	1.30	pounds
9780747251569	Sagan, Carl	The Demon-haunted World	0.75	pounds
9781621480686	Selg, Peter	Destiny of the Michael Community: Foundation Stone for the Future	0.22	pounds
9780947981006	Owen, David	The Alfasud: A Collector's Guide	1.15	pounds
9781405715157	\N	Simon's Finance Act Handbook 2006	2.20	pounds
9780631203384	\N	African Philosophy: An Anthology (Blackwell Philosophy Anthologies)	1.90	pounds
9780631204473	Elston, Elston	Sociology of Medical Science and Tech (Sociology of Health and Illness Monographs)	0.73	pounds
9781850630425	Stewart, R. J.	The mystic life of Merlin	0.50	pounds
9781851703449	\N	Paris 1900: Art of the Poster	1.46	pounds
9780863791291	Haddad, William	Hard Driving	0.80	pounds
9781133611684	Cory-Wright, Kate	National Geographic Primary 4: Student Book (Our World)	1.32	pounds
9780947971991	Brunt, Ken	British Railways Past and Present: London (British Railways Past & Present)	1.81	pounds
9780631204558	Bacci, Massimo Livi	A Concise History of World Population	0.85	pounds
9781621480594	Romero, Lisa	The Inner Work Path	0.30	pounds
9781405714921	\N	BPILS Periodical Payments: Practice and Procedure	2.25	pounds
9780863770197	\N	Dialogues & Debates In Social (Open University set book)	1.55	pounds
9780951927939	Butler, Brian H.	Kinesiology Techniques: An Holistic Approach for Practitioners - Intermediate	1.74	pounds
9780201544299	Scheurer	Foundations of Computing: System Development with Set Theory and Logic (International Computer Science Series)	2.69	pounds
9780395573723	Larkin, David	Barn: The Art of a Working Building	2.80	pounds
9781845316785	\N	Baa Baa Black Sheep (Book and CD)	0.66	pounds
9780783882826	Dias, Dexter	Error of Judgment (G. K. Hall Mystery)	1.75	pounds
9781438974712	Tennant, Linda	Polly and Meril and the Wicked Spell	0.25	pounds
9781593093853	Singleton, Alicia	Dark Side of Valor (Zane Presents)	0.62	pounds
9780783882802	Ustinov, Peter	Quotable Ustinov (Thorndike Paperback)	0.79	pounds
9780956702968	Drakeford, Jackie	Breaking Cover - 1: An Anthology of Country Tales	1.11	pounds
9780863770142	Ford, W.W.	The Psychology of Mathematics for Instruction	1.00	pounds
9780631204626	Hallwood, C. Paul	International Money and Finance 3rd Edition	2.44	pounds
9780947971915	Bond, Simon	Commuted to Life: Humour to Get You Home	0.22	pounds
9780863698675	\N	Sundial Quiz Book: v. 3	0.04	pounds
