orderId,value,barcode
1,3.0,292478098-5
2,4.8,561164750-2
3,8.5,653091051-4
4,6.8,342729759-4
5,1.7,894875904-3
6,5.9,877611786-3
7,9.3,457108958-9
8,4.9,377369839-9
9,8.0,541776671-2
10,3.5,850493515-9
11,1.7,017476280-1
12,2.5,981643937-9
13,2.6,333634117-5
14,1.4,544680481-3
15,8.0,008079701-6
16,6.4,203708958-9
17,10.0,304914896-9
18,8.6,846136685-9
19,6.8,191247093-4
20,5.6,510918527-1
21,5.2,325311185-7
22,5.7,047228518-1
23,2.1,553143261-5
24,1.6,889617422-8
25,7.1,933305530-4
26,8.4,187070974-8
27,10.0,196112980-9
28,9.8,435187395-7
29,9.1,898193129-1
30,9.5,993230913-3
31,7.9,523031112-6
32,6.7,578755347-0
33,8.2,353400898-7
34,3.4,023370863-4
35,2.8,517517821-0
36,2.4,828988396-X
37,5.3,802525544-1
38,10.0,666665348-3
39,3.1,515651972-5
40,9.9,106716128-7
41,4.2,560661470-7
42,8.9,287538360-4
43,8.9,542135081-9
44,7.4,654658352-6
45,6.6,926848104-9
46,2.1,090076070-2
47,7.2,742335085-0
48,6.9,475077735-8
49,3.2,260128625-3
50,1.9,321534553-6
51,2.8,047664505-0
52,7.5,847561636-4
53,3.4,097803978-5
54,1.2,621151141-8
55,8.3,138031882-3
56,9.3,414325295-3
57,2.3,521358961-8
58,6.7,200055295-1
59,7.5,050482651-4
60,7.5,345545334-1
61,7.2,702774135-0
62,7.4,885032596-7
63,8.3,245769121-4
64,2.8,979840203-0
65,4.1,179616634-0
66,6.0,832704631-4
67,7.7,165305814-5
68,2.1,681651238-3
69,5.7,203426867-9
70,9.0,378037571-0
71,1.3,273261969-8
72,3.2,396392123-4
73,9.1,926145706-1
74,6.6,728041738-8
75,8.0,894186661-8
76,5.5,095445786-2
77,1.8,440759595-7
78,4.1,459271028-2
79,6.9,340471975-1
80,5.8,352196653-4
81,6.6,488980807-8
82,9.2,639107878-5
83,3.9,113168710-8
84,5.2,283172900-9
85,9.2,944651283-2
86,5.7,448407731-0
87,2.4,517817475-5
88,2.8,842035347-7
89,3.3,999740164-6
90,6.0,580610686-1
91,9.8,021439136-1
92,4.7,873830057-5
93,9.9,983886254-1
94,3.7,475035612-3
95,3.3,321185062-7
96,5.6,680254777-5
97,5.9,774833210-X
98,6.2,204692125-9
99,3.8,018954941-6
100,8.5,611391039-3
101,3.7,264698033-7
102,1.9,752150124-1
103,4.6,397481592-9
104,1.7,022059491-0
105,6.4,789124620-3
106,3.9,522197038-4
107,1.5,735495246-X
108,3.6,717688817-5
109,8.3,339774361-3
110,6.6,527360287-4
111,5.2,513732322-5
112,7.3,238280564-1
113,4.6,256231465-4
114,6.0,159985977-7
115,9.6,373742903-0
116,5.5,811206014-2
117,3.0,831175412-8
118,6.6,146507674-3
119,3.7,365881748-8
120,8.9,969685757-8
121,2.2,296424861-3
122,4.9,767626595-9
123,1.9,100050499-9
124,3.0,988817360-X
125,6.4,603804201-6
126,6.2,132624279-2
127,1.1,788042951-4
128,7.1,193791927-7
129,6.8,903310523-3
130,7.5,590065415-X
131,4.5,002693966-5
132,6.7,771468246-9
133,3.7,339204123-8
134,4.0,478341572-2
135,8.9,272416404-0
136,7.4,901356581-6
137,9.6,831648918-X
138,8.5,599255072-0
139,6.2,439432866-7
140,7.9,751544700-1
141,1.9,460971330-6
142,3.3,152332729-4
143,9.7,251963202-X
144,6.6,996907925-5
145,6.9,775981087-3
146,6.4,677786067-3
147,1.2,669254252-9
148,4.7,568726293-8
149,6.7,089195435-X
150,3.5,466368353-3
151,3.8,526251714-5
152,7.6,911982624-9
153,8.8,477572565-3
154,2.5,728355601-X
155,5.7,523515296-4
156,5.5,045492625-1
157,5.2,002994563-1
158,6.6,739673926-8
159,2.7,895043288-9
160,8.6,329323276-0
161,2.8,964086889-2
162,9.1,924325391-3
163,4.6,712633866-X
164,9.0,271621677-0
165,5.6,250865442-6
166,8.9,842999340-1
167,8.4,122635587-0
168,3.8,401219440-2
169,3.9,437130916-X
170,4.2,140680508-4
171,2.4,602162104-2
172,2.0,778771965-6
173,1.8,259170491-0
174,3.1,359175742-X
175,7.8,388652468-X
176,2.7,536679618-0
177,9.3,920697171-9
178,1.6,424688652-1
179,8.6,286912867-3
180,1.7,375563364-7
181,5.0,572175724-8
182,7.6,344990595-3
183,8.9,705599711-9
184,7.7,236790524-X
185,9.5,705383541-3
186,6.2,497377101-5
187,5.7,758252848-4
188,7.4,749735223-7
189,7.1,576282769-0
190,4.5,297716439-1
191,6.2,439215401-7
192,4.1,834667244-6
193,2.9,152901149-3
194,5.5,829926046-9
195,7.6,318874102-2
196,6.2,026059576-4
197,4.6,486993250-4
198,2.3,404223606-5
199,2.8,840869196-1
200,8.3,315883156-2
201,8.6,419670229-5
202,1.3,260129903-7
203,1.6,427016097-7
204,2.6,275773454-7
205,1.5,677655694-6
206,2.9,283386783-2
207,5.4,616385705-4
208,3.4,190311617-1
209,7.1,266478041-7
210,9.7,806893417-0
211,3.6,781040271-4
212,2.5,841404937-0
213,6.2,707653757-5
214,3.1,187748221-8
215,2.1,589761763-5
216,5.0,276163079-3
217,2.7,313413020-3
218,1.2,113384335-2
219,2.8,200774828-2
220,9.0,183997140-1
221,1.2,891270897-X
222,9.1,368409040-9
223,6.3,014344664-9
224,4.4,748777942-4
225,9.3,727465698-8
226,1.2,030213716-5
227,5.0,432497447-0
228,9.5,078141538-1
229,9.0,985001691-4
230,10.0,916117949-3
231,2.0,524506661-0
232,1.3,815767225-2
233,4.2,660335113-7
234,2.2,910709238-5
235,3.3,811121883-4
236,2.4,449059193-4
237,8.3,373037261-0
238,6.1,672832163-2
239,2.4,615611308-8
240,7.5,863970434-1
241,8.5,968167307-7
242,2.1,278268667-4
243,5.6,719538097-1
244,9.3,048177936-1
245,5.6,807961766-X
246,8.3,349866598-7
247,3.8,097448406-7
248,4.7,066621902-8
249,1.7,414166736-6
250,1.2,166255945-3
251,6.7,035988061-4
252,9.0,425648809-X
253,3.1,237567631-9
254,7.0,819157963-4
255,3.3,073970389-7
256,1.9,815093722-6
257,4.6,844316525-1
258,6.2,696975092-2
259,5.2,601359877-0
260,9.6,614082120-7
261,9.6,008045117-9
262,1.0,933022901-8
263,6.3,411300458-7
264,7.0,806113440-3
265,8.3,136342370-3
266,5.7,201116596-2
267,7.2,498765942-5
268,7.2,058241592-6
269,4.1,104998983-X
270,4.5,849842055-5
271,8.6,972222020-9
272,5.8,042657450-8
273,6.8,674015511-9
274,9.7,002216483-9
275,7.5,790013957-5
276,7.3,466748029-7
277,6.1,622679594-8
278,2.9,043270162-1
279,8.3,013565737-7
280,9.0,254994034-2
281,5.3,140784884-4
282,9.6,594547546-7
283,7.0,736952122-2
284,5.2,263142030-6
285,7.6,357889013-8
286,2.9,753977684-6
287,9.6,574188836-4
288,8.7,410553228-6
289,4.2,286283865-9
290,4.1,425289049-7
291,7.9,533770664-0
292,4.3,576487874-8
293,4.1,701607808-6
294,8.6,431645507-9
295,6.7,731624895-5
296,6.4,553649296-9
297,2.7,190035953-7
298,8.6,517817318-X
299,1.4,301312254-4
300,5.5,424349818-0
301,9.5,236930064-7
302,4.1,734924934-9
303,5.3,711034753-2
304,1.3,044015674-2
305,8.3,897321064-5
306,3.0,431390124-8
307,1.3,569647258-3
308,4.8,766035415-9
309,3.0,016508133-3
310,9.4,194909023-X
311,2.6,407484434-6
312,4.5,427665280-4
313,5.4,270325655-8
314,1.3,079254925-2
315,2.4,343218956-7
316,3.8,120898219-2
317,9.5,402906635-6
318,1.9,504096469-2
319,9.3,984113450-0
320,3.1,624101266-5
321,8.6,529824650-8
322,5.6,402615465-3
323,3.3,539400407-2
324,4.5,607021617-2
325,1.1,717158617-0
326,2.1,810918554-1
327,7.1,852428884-1
328,8.9,634389027-0
329,3.6,568390736-5
330,9.5,188054251-X
331,3.4,860630126-4
332,9.7,855696733-7
333,5.4,640400261-2
334,8.6,430202039-3
335,8.2,895504241-8
336,5.9,541670670-8
337,2.8,434093907-2
338,3.1,910824319-0
339,9.9,255407424-0
340,6.0,514240914-0
341,2.4,144025192-4
342,4.0,602693646-7
343,3.8,744071767-8
344,2.7,494622520-X
345,9.5,406638130-8
346,1.5,275207150-7
347,4.4,102968422-7
348,3.1,030884250-2
349,3.5,037272075-7
350,3.2,559351124-1
351,4.6,623331705-3
352,6.5,382025182-0
353,2.4,059514572-8
354,7.8,476964094-3
355,2.6,196689716-2
356,9.2,038449097-2
357,1.7,877509635-8
358,3.1,824664030-5
359,4.7,443817194-6
360,2.9,149703412-4
361,9.7,842683098-6
362,1.7,512680032-9
363,2.4,657868362-3
364,2.7,562877999-7
365,1.7,296881831-7
366,7.9,800778337-7
367,8.2,967336428-1
368,3.8,286028001-4
369,8.8,693454215-0
370,6.5,107428720-7
371,1.3,525007780-3
372,7.0,295913280-7
373,6.9,249151150-9
374,8.7,274225195-2
375,1.6,429041381-1
376,9.3,215181296-0
377,2.2,745477389-3
378,2.5,087405427-3
379,3.3,728079505-6
380,3.6,049384586-0
381,3.9,792642530-3
382,7.6,491246707-3
383,1.0,714222351-0
384,1.1,324728006-5
385,7.7,608333583-3
386,3.9,792110120-8
387,2.3,166870318-1
388,8.8,830208434-4
389,3.0,317519309-9
390,4.5,156635182-0
391,5.7,966292016-1
392,6.4,916429052-2
393,7.6,591087091-2
394,4.1,716355518-0
395,1.9,423776198-3
396,4.8,618561778-1
397,5.5,627983308-9
398,8.7,052482674-9
399,9.5,997758187-8
400,4.3,680176573-6
401,7.1,624809139-0
402,5.2,084397504-0
403,2.0,890700296-7
404,1.6,720863815-2
405,7.9,994640786-8
406,1.8,215785602-1
407,4.3,766572973-8
408,9.4,852281141-5
409,9.3,817932575-X
410,6.8,465219074-3
411,3.2,693611757-0
412,7.0,126715177-3
413,3.2,492343774-X
414,9.8,346433053-2
415,1.8,562635982-6
416,9.3,073952295-7
417,4.6,026619922-4
418,5.5,024788705-6
419,3.6,298753777-8
420,1.4,321221086-9
421,5.6,230452703-5
422,4.5,344176913-9
423,8.2,306244662-5
424,7.3,996307058-2
425,9.3,806295012-3
426,2.9,893442661-6
427,6.9,202068579-5
428,9.7,941109412-0
429,6.8,107414806-1
430,3.9,446949469-0
431,4.5,870291091-8
432,2.7,642497154-8
433,8.6,619624205-9
434,5.1,177443342-7
435,4.0,639166785-3
436,6.4,885810373-4
437,7.2,975035058-8
438,7.1,649350635-2
439,5.7,187355279-3
440,2.9,374777663-9
441,1.9,478085127-0
442,4.5,481392400-X
443,4.7,955104374-X
444,2.8,215521749-8
445,6.9,993178668-X
446,6.0,573524660-7
447,9.2,689494667-1
448,9.0,148575095-4
449,9.3,186926548-3
450,6.7,117315561-9
451,6.5,775811676-0
452,4.0,639842498-0
453,2.6,330603074-0
454,3.8,473237548-0
455,5.4,160879827-5
456,5.2,641344783-4
457,4.6,973216112-4
458,2.5,183274506-6
459,8.2,124851196-4
460,8.1,549529796-2
461,3.0,629262140-5
462,9.5,385350827-8
463,8.0,195528812-7
464,5.8,365193507-8
465,3.2,719784876-8
466,2.3,381113732-8
467,9.2,363503377-4
468,5.7,651021411-3
469,2.6,445149324-2
470,7.6,194238941-8
471,6.7,749046828-0
472,2.8,819257240-4
473,3.0,567165300-2
474,9.9,548611651-9
475,6.3,112694095-X
476,7.3,741857806-7
477,1.6,902860148-1
478,1.6,004444987-9
479,1.3,105974365-5
480,8.2,640498296-X
481,9.3,653398330-X
482,7.9,563737481-3
483,2.3,942346577-3
484,4.6,053980914-4
485,6.1,630754128-8
486,3.0,045226960-1
487,1.6,165732793-0
488,1.3,662598746-8
489,6.3,014818076-0
490,9.4,630569069-3
491,3.8,475371491-8
492,2.3,605709705-X
493,7.1,163340868-X
494,6.4,892802635-0
495,7.4,600715479-3
496,9.2,469857057-3
497,6.9,122027703-7
498,2.6,485402452-6
499,5.3,686690707-1
500,3.6,050716002-9
501,2.9,276506126-2
502,2.1,456774632-5
503,7.4,835575168-X
504,3.4,680442367-4
505,9.4,700178363-3
506,3.0,439451127-5
507,4.7,579550180-8
508,6.9,759692928-1
509,3.9,716304675-8
510,5.3,519412999-8
511,4.7,093877376-3
512,10.0,341053114-9
513,1.8,544433937-4
514,8.1,103452299-X
515,2.0,163643749-4
516,6.2,102854875-3
517,7.4,613816773-2
518,4.4,477341504-5
519,7.8,693400970-3
520,1.5,090512993-8
521,6.2,968079764-3
522,5.9,031346014-0
523,2.9,257952493-2
524,3.7,835273526-8
525,8.2,206760810-X
526,3.7,239047469-1
527,4.0,365390255-X
528,3.7,141089911-X
529,2.6,747404137-5
530,2.8,348285621-4
531,4.2,980543375-7
532,8.9,029445433-0
533,8.7,422506563-4
534,8.9,277408737-6
535,6.1,098667571-7
536,3.2,170282827-1
537,8.2,738267490-8
538,5.6,364429963-3
539,3.6,882121268-8
540,2.3,325765062-0
541,1.1,199067651-0
542,5.1,391100302-1
543,2.9,329316141-3
544,7.5,343212654-9
545,1.1,483023812-7
546,6.7,020595688-2
547,1.1,943576695-1
548,2.5,150366726-X
549,8.3,881604110-2
550,6.1,853637287-7
551,2.5,841183174-4
552,3.3,718021180-X
553,2.6,463838821-3
554,8.3,278143879-0
555,5.6,874362840-0
556,4.6,152306644-X
557,4.1,887638199-6
558,9.3,392555673-7
559,6.4,256385201-3
560,7.2,416244216-9
561,6.7,898451451-9
562,9.1,262343308-9
563,1.5,621401514-4
564,7.5,614928473-5
565,9.3,037224996-5
566,4.5,948105855-7
567,7.6,633786886-2
568,5.5,281009261-3
569,3.3,145194817-4
570,3.0,109073109-4
571,7.5,281081639-5
572,8.0,835356565-X
573,9.5,718195732-5
574,6.0,218982109-6
575,6.8,460787563-5
576,3.7,092035835-7
577,2.0,062879881-4
578,4.5,346971172-0
579,7.9,794591174-9
580,3.5,279155865-9
581,2.7,521284710-9
582,6.7,161754604-6
583,9.1,011203123-4
584,2.8,274878618-1
585,7.6,389021787-7
586,5.9,797757716-X
587,3.6,789284629-8
588,1.8,551791804-2
589,9.8,477572207-7
590,6.6,757386577-5
591,3.7,272429384-3
592,8.1,424257441-X
593,7.8,068074116-X
594,5.3,203822975-9
595,7.6,554517689-6
596,6.0,131567780-6
597,1.7,455996657-5
598,5.6,040480216-8
599,9.8,009218913-X
600,8.1,056943876-4
601,3.2,997318847-0
602,9.5,375299070-8
603,8.6,677095675-6
604,5.0,638990621-8
605,9.8,004222663-5
606,2.4,918212046-3
607,9.2,279826406-5
608,7.5,656748471-3
609,6.7,929449319-9
610,6.8,851965520-3
611,4.9,594995198-0
612,3.4,242267231-0
613,8.3,829229950-5
614,8.7,280629967-5
615,2.0,401061128-6
616,7.3,737306360-8
617,2.9,770094046-0
618,2.7,423849487-3
619,3.2,336175457-7
620,5.6,324109084-1
621,1.1,197126692-2
622,5.9,809403100-X
623,6.5,644252237-7
624,9.7,032925732-3
625,9.3,306966301-X
626,1.9,095361131-0
627,3.4,028018655-X
628,4.8,358872411-7
629,8.5,076466564-2
630,6.3,048279711-8
631,3.0,615693885-0
632,6.1,590642195-5
633,6.4,221950369-0
634,2.8,383166942-2
635,2.7,559412505-1
636,8.5,191604207-4
637,5.4,119961862-4
638,6.0,890580730-5
639,2.2,042706413-9
640,7.0,175988101-5
641,9.1,341982702-4
642,2.8,157611805-3
643,5.6,375694209-0
644,9.2,287510390-3
645,1.9,426164040-6
646,3.7,484579510-8
647,3.8,112006153-9
648,3.4,701491210-0
649,3.6,631629651-7
650,7.7,393677019-0
651,4.9,216457063-4
652,3.2,777384508-5
653,6.3,101423883-8
654,7.9,104180048-7
655,3.4,348754787-2
656,5.3,365214352-3
657,3.0,755612865-2
658,6.6,719643637-7
659,7.8,868496374-1
660,2.8,366753242-3
661,8.6,971355218-0
662,7.9,714858952-5
663,3.6,262230482-X
664,6.0,568852501-0
665,6.9,332445243-0
666,3.9,936096836-6
667,3.2,066570863-7
668,7.1,912422724-2
669,6.9,440794212-6
670,7.3,289181673-0
671,5.0,293643840-3
672,6.9,800808413-8
673,8.7,228017008-6
674,5.5,862454942-6
675,7.3,350696613-8
676,9.6,480086198-5
677,6.9,294798982-1
678,6.3,847900574-2
679,7.5,896200215-9
680,2.1,746183489-4
681,10.0,553936029-X
682,6.1,170786295-8
683,6.7,868410485-4
684,4.5,538623389-0
685,8.9,124438058-X
686,1.1,712772261-7
687,8.4,760650903-4
688,2.6,790754621-4
689,8.6,059677585-7
690,1.4,702915322-7
691,4.4,534670151-6
692,7.6,308238270-3
693,7.1,488616196-0
694,9.1,280044271-9
695,1.4,424270783-5
696,3.9,526918031-6
697,6.0,260605127-0
698,7.6,799722097-6
699,8.6,158480746-6
700,1.3,162147243-4
701,4.1,573201089-0
702,8.7,736667421-4
703,5.5,305689803-X
704,7.2,514064588-2
705,6.6,782515453-3
706,8.2,514265985-6
707,4.8,915198705-8
708,7.6,889347007-1
709,5.1,676018766-0
710,7.6,606959228-X
711,3.9,219369880-5
712,2.6,899884993-3
713,5.0,118225077-7
714,4.4,894353047-1
715,3.4,744007844-6
716,2.6,606588851-6
717,7.7,886888669-3
718,3.1,602920860-8
719,8.4,794434169-8
720,7.8,740422909-X
721,5.3,604125584-X
722,5.0,775070921-5
723,7.7,896628206-7
724,3.1,582646364-3
725,9.2,797679961-4
726,2.5,423800994-0
727,6.9,037254923-3
728,8.5,001467221-9
729,4.3,063012643-7
730,7.0,303105536-5
731,6.1,449755362-0
732,8.7,565733794-8
733,8.5,346945664-X
734,5.3,122207661-6
735,7.6,645823228-4
736,7.0,859554637-1
737,9.8,316386444-9
738,5.0,207425223-4
739,2.0,677782107-4
740,6.4,569478129-5
741,6.5,325003421-5
742,7.4,805014183-7
743,9.7,930350158-6
744,5.0,944271309-4
745,5.7,143966908-2
746,1.2,294082365-0
747,9.9,169382418-3
748,5.5,260813623-0
749,4.1,621631216-2
750,8.0,653520618-1
751,6.8,666975120-6
752,5.5,577317803-6
753,8.2,485814507-7
754,4.6,507937411-X
755,1.6,663814296-8
756,1.6,921236642-2
757,2.4,251754792-0
758,7.1,199441899-0
759,3.4,797904220-4
760,3.0,163122942-7
761,8.0,731282802-7
762,6.4,732715981-9
763,7.6,033628234-6
764,6.0,687765160-X
765,1.1,625602029-4
766,9.0,264628125-0
767,9.4,727697867-2
768,1.8,793192956-X
769,1.8,890053293-6
770,4.4,559402174-4
771,4.1,664457491-2
772,5.3,078767880-5
773,4.9,110205207-8
774,8.2,738397793-9
775,2.4,496086354-4
